accident_id,incident_datetime,city,state,country,latitude,longitude,road_name,road_type,intersection_type,accident_type,weather_condition,road_condition,light_condition,speed_limit,actual_speed_kph,driver_age,driver_gender,casualties,fatalities,vehicles_involved,alcohol_influence,blood_alcohol_level,weather_reported_at,reporting_department,pedestrian_involved
f723b811-eb96-4162-9d25-3f029463043c,2024-11-09T07:36:43.010Z,Fort Jonathanmouth,South Dakota,Colombia,2.2266,102.7073,tristis,absum,cruciamentum,animus,cerno,aureus,tego,116,176.39458493017042,26,vos,5,2,5,false,0.16249184789543192,2019-05-20T01:14:52.620Z,Gottlieb LLC,true
2897424a-def7-44f0-a553-dc5877a68c8d,2025-06-06T00:59:42.610Z,West Kaleymouth,North Dakota,Nigeria,-2.1856,33.7305,attollo,trado,aro,crur,collum,numquam,theologus,110,126.93038845624721,26,defendo,6,1,1,false,0.17618917817810287,2023-05-09T19:16:19.388Z,"Rolfson, Harber and Adams",false
da0e1d67-ca5f-46c9-be21-6ea605751150,2020-03-27T02:15:44.864Z,Apple Valley,Oklahoma,Burundi,-64.9584,130.7748,coepi,deleniti,tonsor,clementia,colligo,ulterius,cado,78,115.95286596399748,99,barba,4,0,4,false,0.23618505458764164,2024-08-31T02:25:18.936Z,Denesik Group,false
44bfbd2d-ab4f-4d0d-aa8b-17043868aab0,2024-07-11T10:37:33.344Z,Kozeyfield,Massachusetts,Aruba,-65.1813,-166.9986,compello,consequatur,bonus,vaco,ante,advenio,conservo,113,88.11842944914564,63,tantum,2,2,3,true,0.11713295560182366,2024-02-12T18:25:11.771Z,Weissnat - Dietrich,false
5fc64931-2569-4d8f-bc9e-084741542b35,2019-10-27T10:16:35.623Z,West Lilyville,Alabama,British Indian Ocean Territory (Chagos Archipelago),-15.991,52.133,defetiscor,ante,utrum,adipisci,vulgivagus,campana,dens,40,116.76382385401203,97,sublime,2,2,2,false,0.19866005644831336,2019-09-29T07:11:44.768Z,Weissnat Inc,true
eaf7a85a-4d49-4f8c-9cd4-2bd6c97df7de,2024-05-21T09:07:34.357Z,Lake Elwin,Arizona,Philippines,-28.0934,-46.8297,aeternus,adstringo,vergo,communis,umbra,angustus,desparatus,71,153.4999179132821,76,thymum,0,2,1,false,0.028134446599662022,2023-09-07T10:47:08.772Z,Hessel - Luettgen,false
8cf07de5-32e1-46a0-867f-4432481f9fa2,2024-05-27T23:42:51.556Z,Gustaveview,Massachusetts,Bermuda,52.9525,-3.8459,deleo,tracto,saepe,coniecto,cunabula,similique,eligendi,113,32.836330816902915,49,coerceo,4,1,3,false,0.13437779940912406,2019-11-15T11:24:25.022Z,Paucek LLC,true
e0a6d699-f1f5-4eba-8ddb-49b715dc2574,2022-01-24T08:25:03.303Z,North Randy,Oklahoma,United States Minor Outlying Islands,33.7554,-143.8096,repudiandae,audentia,clam,ducimus,arcus,auctus,corrupti,92,168.86369424563944,45,desipio,3,2,5,true,0.09204281327830885,2019-03-13T19:09:13.145Z,"Hand, Rau and O'Hara",true
b32ff4c1-8820-43f6-8f72-5968447e9794,2025-07-16T04:52:30.988Z,West Lisa,Oklahoma,Bermuda,-9.9928,42.2612,fugit,culpa,amita,conitor,curso,deinde,alveus,84,35.83483251712021,37,terminatio,6,2,4,true,0.042096634382732784,2022-07-11T21:52:29.276Z,"Rogahn, Spinka and Abbott",true
5b3caa09-187d-4fb7-b383-e2ad9d5a953d,2022-08-30T08:16:36.530Z,West Barry,Delaware,Luxembourg,2.2968,-170.3922,avaritia,abstergo,tumultus,universe,civitas,tondeo,quis,69,105.44949398979878,36,canto,0,0,2,false,0.12362851910054412,2019-10-16T00:02:36.988Z,"Cummerata, Anderson and O'Connell",true
49f74136-acd5-4467-a846-4ac1e33600a1,2018-06-17T03:39:09.851Z,Port Dedrickberg,South Dakota,Angola,67.6473,148.8925,celebrer,suadeo,conscendo,defungo,supplanto,trado,vigor,90,59.3433709471282,21,sint,5,2,5,true,0.04908115236620633,2022-07-20T12:36:57.141Z,"Yundt, Beer and Parisian",false
fbc3a1c9-cf38-442f-9498-3a6c7ca59d46,2022-11-14T11:25:27.361Z,Hageneschester,Virginia,"Virgin Islands, U.S.",-27.4555,5.632,dolorum,totam,terror,cogo,defaeco,sunt,vesco,69,131.6510205739467,21,tergiversatio,1,1,3,false,0.10789111076764188,2023-04-12T10:48:44.204Z,Towne - Prohaska,true
