id,sales_rank,price,sale_date,customer_age,customer_name,customer_email,shipping_address,product_code
fc7b6c58-5bdd-4af1-8df8-b31df1005006,9397,5306.111274,2025-06-21T12:15:22.481Z,70,Rickey Kuhlman,Donna62@gmail.com,638 Pine Street,KCC17x17q3
439fdd46-7e24-42ed-91ff-1544139f843d,9490,9425.546491,2026-01-02T20:39:29.288Z,58,Carmen Schaefer,Helmer_Zieme@yahoo.com,9730 Kaya Orchard,mp5jDo6RCa
38ff2c17-9813-4d8a-8b20-de82e9f3ebd3,7840,1164.934713,2025-06-28T23:49:24.952Z,29,Ross D'Amore,Jose72@gmail.com,158 Mueller Forks,M5hEpfDs0s
025142d0-754d-4a6a-aa47-c855fe1fc993,6286,7481.668544,2025-06-19T11:02:01.857Z,46,Kim Kohler,Anabel_Walter@yahoo.com,935 Manor Road,DsDMi5bNTx
6b4cc0e8-b91e-4b10-a68a-755ca1a85076,3419,3604.773797,2025-02-13T13:53:35.554Z,75,Kerry Daniel,Jeanette1@hotmail.com,867 Will Fork,6NC3YKhQD1
dbad507a-d150-49a8-b803-397233ea846a,3023,6624.875813,2025-03-09T12:03:16.605Z,38,Myra Macejkovic-Watsica,Vanessa.Lindgren@gmail.com,6301 Roslyn Key,ekG395ASDg
9f06b7f3-49c1-413f-ba34-a58a193e48ef,7591,8544.116196,2025-07-17T07:08:52.597Z,50,Gilbert Corwin,Dennis7@gmail.com,272 Cronin Canyon,2suN5dWGXw
6c2efa50-fe9c-4e6e-b298-bd3ef28eb113,9250,3548.908752,2025-10-04T00:24:40.762Z,35,Geraldine Schaden,Augustine41@hotmail.com,4417 S Chestnut Street,m3Gyqepbtv
300a43d4-f637-4dd5-86bc-b087948d63e3,8908,7353.300321,2025-03-30T09:40:52.479Z,29,Joyce Lemke,Emiliano.Kihn@yahoo.com,185 16th Street,nCOLQWvBmc
758e09fa-a2b2-4797-b412-08243cd915b2,8575,3098.552428,2025-04-18T09:19:17.841Z,61,Toni Gislason-Davis,Dalton.Blanda-Reinger4@gmail.com,19036 Kiehn Lodge,OC5fMz4Klv
8424466a-31ec-4344-842c-ea9ffe3f6168,7676,4265.083927,2025-08-31T15:09:17.041Z,54,Sonja Waters,Tomas_Walsh98@yahoo.com,10449 Cedar Close,pkh0iAdQ1v
161213cf-3f85-4d59-af60-c9c0f9b2ac1f,737,639.0187668,2025-02-28T03:59:12.405Z,29,Tracey Champlin,Krystal.Zemlak@hotmail.com,5930 Roberts Rapids,Ab3Z4xoqVp
51fc9bb0-5f44-41fe-b530-31d8a2ba47a1,149,8766.27593,2025-08-25T11:50:02.703Z,57,Emma Lang,Adolph.Schiller@hotmail.com,33629 Ferry Viaduct,oBedLNm8p2
69ea0024-674d-42c3-a948-76f489c4997b,3209,6943.962738,2025-08-09T18:53:09.662Z,64,Brad Volkman,Dawson.Homenick51@yahoo.com,725 Albany Road,jATPJXKbzw
04a12512-ab00-4e9a-a4d7-e3f5b3460c0a,1800,5241.474295,2025-08-10T19:11:31.573Z,33,Anna Schamberger MD,Amelie20@yahoo.com,53183 Cruickshank Gardens,Si5pyv5zft
bf54af73-f31b-4f23-9755-fce3b6f2c403,9675,2691.757935,2025-03-23T02:16:34.122Z,55,Oliver Crooks,Mack.Okuneva@gmail.com,82378 Abshire Mills,iiJ0pKPuol
